event_id,thread_id,event_time,tool,operation,path_or_artifact_id,command_sha256,verification_status,notes
chg-00001,019cb2e6-85fb-7cc1-97c0-ccf544316a6c,2026-03-03T08:54:54.332Z,shell_command,analysis-run,scripts/generate_openai_yaml.py,202dcd06e2527e4092519143d819b2a2d617f22ac41628a04883797d12908c79,historical-path-missing,aggregation=thread+operation; candidates=4; distinct_paths=3; representative=current-path-first; omitted=additional calls/paths; raw omitted
chg-00002,019cb2e6-85fb-7cc1-97c0-ccf544316a6c,2026-03-03T08:56:25.919Z,apply_patch,update-file,external-artifact,8e6004b1d3f95786497fece3f13783cc8fdabd98d988a4d8ba975e9acf8eae5f,verified-session,aggregation=thread+operation; candidates=1; distinct_paths=1; representative=current-path-first; omitted=additional calls/paths; raw omitted
chg-00003,019cb2ed-e71a-7b73-8aae-b60202f55998,2026-03-03T09:23:22.867Z,shell_command,file-write-command,AGENTS.md,60916b2171dfa68e74d81e23609d547b486429ebc16ab3232db4ad07199d9b65,verified-current,aggregation=thread+operation; candidates=89; distinct_paths=51; representative=current-path-first; omitted=additional calls/paths; raw omitted
chg-00004,019cb2ed-e71a-7b73-8aae-b60202f55998,2026-03-03T09:24:32.322Z,apply_patch,add-file,.codex/hooks/README.md,22f6dda915186172eebbfd436d646b2675d3648b044993ac25ad06f90f80586a,historical-path-missing,aggregation=thread+operation; candidates=18; distinct_paths=18; representative=current-path-first; omitted=additional calls/paths; raw omitted
chg-00005,019cb2ed-e71a-7b73-8aae-b60202f55998,2026-03-03T09:28:07.702Z,apply_patch,update-file,.codex/hooks/context-monitor.py,e6b7f2dd25b7ad2457117c687091229bf4687ecf4351f7f03f16b1b2c63bf17c,historical-path-missing,aggregation=thread+operation; candidates=56; distinct_paths=22; representative=current-path-first; omitted=additional calls/paths; raw omitted
chg-00006,019cb2ed-e71a-7b73-8aae-b60202f55998,2026-03-03T09:29:14.296Z,shell_command,plan-write,quality_reports/plans/YYYY-MM-DD_*.md,6b84a557c135c27bd814b2b43390fd96e3c149dba7ac068d665835b9c33ebd62,verified-session,aggregation=thread+operation; candidates=3; distinct_paths=3; representative=current-path-first; omitted=additional calls/paths; raw omitted
chg-00007,019cb2ed-e71a-7b73-8aae-b60202f55998,2026-03-03T09:46:51.162Z,shell_command,analysis-run,scripts/quality_score.py,f9ead374304e44d002bf327fe424a018486377c852f368ca3084941b10c7cc27,historical-path-missing,aggregation=thread+operation; candidates=5; distinct_paths=2; representative=current-path-first; omitted=additional calls/paths; raw omitted
chg-00008,019cf584-4269-7b42-bce6-41d6cd53ae25,2026-03-16T07:30:56.652Z,shell_command,file-write-command,quality_reports/plans,6b7d854dd3e4fb9ea8bf06d10d62a47b97a91cfc60bd02a6f025a0afbeef5f90,verified-current,aggregation=thread+operation; candidates=5; distinct_paths=5; representative=current-path-first; omitted=additional calls/paths; raw omitted
chg-00009,019cf584-4269-7b42-bce6-41d6cd53ae25,2026-03-16T07:30:56.652Z,mixed,manifest-write,references/manifests,6b7d854dd3e4fb9ea8bf06d10d62a47b97a91cfc60bd02a6f025a0afbeef5f90,historical-path-missing,aggregation=thread+operation; candidates=17; distinct_paths=2; representative=current-path-first; omitted=additional calls/paths; raw omitted
chg-00010,019cf584-4269-7b42-bce6-41d6cd53ae25,2026-03-16T07:34:30.647Z,apply_patch,add-file,references/code/test.txt,6c57645069af9c0d92d51894f9ecb28158317c2dd56fb8326909e205ec740d09,historical-path-missing,aggregation=thread+operation; candidates=9; distinct_paths=6; representative=current-path-first; omitted=additional calls/paths; raw omitted
