"alias","alias_scope","canonical_id","meaning","collision_group","notes"
"design-20260210","legacy reconstructed ID","design-2026-02","Deprecated initial canonical form for the February 2026 blueprint","design-id","Use design-2026-02 as the canonical ID"
"RR_blueprints20260210.pdf","project root","design-2026-02","Local research-blueprint PDF dated 2026-02-10","","Design evidence only"
"v1","complete-report sequence","report-v1","First unnumbered complete report","bare-v-number","Do not infer data-v1 from this alias"
"v1","data sequence","data-v1","External V1 panel family","bare-v-number","Observed file timestamps do not establish a build date"
"complete_report.Rmd","output/reports","report-v1","Source R Markdown for report-v1","","Local historical report"
"v2","complete-report sequence","report-v2","Second complete report revision","bare-v-number","Not data-v2 or analysis-v2"
"v2","data pipeline","data-v2","V2 logical climate pipeline","bare-v-number","Contains pre-fix and post-fix snapshots"
"v2","analysis sequence","analysis-v2","Pre-SPEI-correction systematic analysis","bare-v-number","Input is data-v2-analysis-ready"
"complete_report_v2.Rmd","output/reports","report-v2","Source R Markdown for report-v2","","Local historical report"
"data_v2_main.dta","observed by v2_step0 on 2026-04-02","data-v2-main-pre-spei-fix","Missing 69038-row 523-column V2 main snapshot","data-v2-main-same-path","Do not replace with the later 621-column snapshot"
"data_v2_main.dta","observed by v3_step0 on 2026-04-04","data-v2-main-post-spei-fix","Missing 69038-row 621-column corrected V2 main snapshot","data-v2-main-same-path","Same historical path but different schema"
"v2_analysis_ready.dta","data/processed","data-v2-analysis-ready","Existing analysis-ready output from the pre-fix V2 snapshot","","Upstream source snapshot is missing"
"v3","complete-report sequence","report-v3","Third complete report revision","bare-v-number","Not analysis-v3, data-v3-expanded or response-surface-v3"
"v3","analysis sequence","analysis-v3","Corrected systematic rerun after the SPEI fix","bare-v-number","Historical analysis node"
"v3","expanded data sequence","data-v3-expanded","Expanded climate and state panel family","bare-v-number","Logical data family"
"v3","G185 response-surface sequence","g185-response-surface-v3","Third response-surface implementation","bare-v-number","Separate namespace and estimand"
"complete_report_v3.Rmd","output/reports","report-v3","Source R Markdown for report-v3","","Local historical report"
