edge_id,input_artifact_id,output_artifact_id,transformation_id,code_path,join_keys,join_type,filter_expression,outcome_redefinition,verification_status,notes
edge-0001,data-v1-master,data-v1-county-city,v1-add-county-city,repo://scripts/python/add_county_city_from_coords.py,latitude|longitude,spatial-point-in-polygon,none,unchanged,three-source-confirmed,"Adds county/city identifiers without changing the 69,038-row panel."
edge-0002,data-v1-county-city,data-v1-locked-panel,v1-phase0-lock,repo://scripts/stata/step0_sample_and_macros.do,grid_id|year,identity,"no row filter; creates main_sample",unchanged,three-source-confirmed,"Report-v5 Phase 0 output retains all rows and records the locked sample as a flag."
edge-0003,data-v1-master,data-v2-main-initial-missing,v2-initial-climate-pipeline,repo://data_build/scripts/python/run_all.py,grid_id|year,multi-source-left-merge,retain V1 yield-present panel,unchanged,missing-snapshot,"The 523-column output is missing. The present run_all.py is only a descendant code reference and has subsequently evolved, so the exact historical input-to-output transformation remains unverified."
edge-0004,data-v2-main-initial-missing,data-v2-main-corrected-missing,v2-spei-terminal-month-correction,repo://data_build/scripts/python/s06_calc_vpd_spei.py,grid_id|year,rebuild,"replace overlapping-window SPEI means with terminal-month SPEI at dynamic scale",unchanged,missing-snapshot,"Both same-named physical snapshots are absent; the correction is documented and cannot be hash-compared."
edge-0005,data-v2-main-initial-missing,data-v2-analysis-ready,v2-analysis-preamble,repo://scripts/stata/v2_step0_preamble.do,grid_id|year,identity,"no row filter; creates main_sample",unchanged,two-source-supported,"analysis-v2 predates the SPEI correction; it must not be treated as derived from the corrected snapshot."
edge-0006,data-v2-main-corrected-missing,data-v3-analysis-ready,v3-corrected-analysis-preamble,repo://scripts/stata/v3_step0_preamble.do,grid_id|year,identity,"no row filter; creates main_sample and analysis aliases",unchanged,two-source-supported,"Existing output and script agree; the exact 621-column input snapshot is missing."
edge-0007,data-v1-locked-panel,data-v3-expanded-phenowindows,v3-expanded-multisource-pipeline,repo://data_build/scripts/python/run_all.py,grid_id|year,multi-source-left-merge,none,unchanged,two-source-supported,"s08_merge_panel.py reads data/processed/analysis_main_sample.dta, registered as data-v1-locked-panel; the pipeline also consumes local climate and phenology sources not enumerated as row-level artifacts."
edge-0008,data-v3-expanded-phenowindows,data-v3-expanded-main,v3-export-yield-present,repo://data_build/scripts/python/s10_export.py,grid_id|year,row-subset,yield_tons_ha is not missing,unchanged,three-source-confirmed,"Parquet view; 69,038 rows and the same 1,679-column logical schema."
edge-0009,data-v3-expanded-phenowindows,data-v3-expanded-noyield,v3-export-yield-missing,repo://data_build/scripts/python/s10_export.py,grid_id|year,row-subset,yield_tons_ha is missing,unchanged,three-source-confirmed,"Parquet view; 53,495 no-yield rows retained for provenance rather than analysis."
edge-0010,data-v3-expanded-phenowindows,data-v3-expanded-phenowindows-dta,v3-export-phenowindows-stata,repo://data_build/scripts/python/s10_export.py,grid_id|year,format-conversion,none,unchanged,three-source-confirmed,"Stata-format sibling; format conversion changes name encoding constraints but not rows."
edge-0011,data-v3-expanded-main,data-v3-expanded-main-dta,v3-export-main-stata,repo://data_build/scripts/python/s10_export.py,grid_id|year,format-conversion,none,unchanged,three-source-confirmed,"Exact DTA sibling consumed by downstream Stata and G185 Python code."
edge-0012,data-v3-expanded-main-dta,analysis-v3prhd-ready-dta,v3-precipitation-hotdry-preamble,repo://scripts/stata/v3prhd_step0_preamble.do,grid_id|year,identity,"no row filter; creates analysis flags and aliases",unchanged,three-source-confirmed,"Precipitation hot-dry definitions are not interchangeable with SM-threshold hot-dry definitions."
edge-0013,data-v3-expanded-main-dta,analysis-v3prhdsm-ready-dta,v3-multisource-sm-preamble,repo://scripts/stata/v3prhdsm_step0_preamble.do,grid_id|year,identity,"no row filter; creates multisource SM flags and aliases",unchanged,three-source-confirmed,"Same column schema as v3prhd but a different physical content hash."
edge-0014,data-v3-analysis-ready,analysis-v3decomp-ready-dta,v3-decomposition-profiles,repo://scripts/stata/v3decomp_step0_profiles.do,grid_id|year,identity,"no row filter; creates common-sample flags and profile constants",unchanged,three-source-confirmed,"Algebraic decomposition preparation; no causal mediation claim."
edge-0015,data-v3-analysis-ready,analysis-v3sub-ready-dta,v3-subsample-tags,repo://scripts/stata/v3sub_step0_subsamples.do,grid_id|year,identity,"no row filter; creates maize_zone and irrigation/subsample tags",unchanged,three-source-confirmed,"Defines historical region/subsample tags."
edge-0016,data-v3-analysis-ready,analysis-v3med-ready-dta,v3-model8-preparation,repo://scripts/stata/v3med_step0_preamble.do,grid_id|year,identity,"no row filter; creates common-sample flags",unchanged,three-source-confirmed,"Historical Model-8 two-equation preparation."
edge-0017,analysis-v3prhdsm-ready-dta,analysis-v3proxy-ready-dta,v3-sm-proxy-preparation,repo://scripts/stata/v3proxy_step0_preamble.do,grid_id|year,identity,"no row filter; creates one common-support flag and DrySM proxies",unchanged,three-source-confirmed,"Uses the multisource SM panel as the direct base."
edge-0018,analysis-v3prhdsm-ready-dta,analysis-v3bpath-ready-dta,v3-bpath-base,repo://scripts/stata/v3bpath_step0_preamble.do,grid_id|year,one-to-one,keep master and matched,unchanged,three-source-confirmed,"Primary table for the unified b-path audit."
edge-0019,data-v3-analysis-ready,analysis-v3bpath-ready-dta,v3-bpath-wet-control-merge,repo://scripts/stata/v3bpath_step0_preamble.do,grid_id|year,one-to-one,keep matched W_* fields,unchanged,three-source-confirmed,"Supplies six W_* controls; exact merge assertion is in the Stata script."
