"canonical_id","display_name","namespace","version_kind","date_start","date_updated","first_evidence_date","result_run_date","interpretation_updated_at","status","current_truth_role","lineage_confidence","parent_id","supersedes_ids","context_ids","main_change","data_change","method_change","result_presentation_change","current_use","evidence_visibility","public_evidence_paths","notes"
"design-2026-02","RR research blueprint 2026-02-10","design","design_document","2026-02-10","","2026-02-10","","","design_only","design_reference","three-source-confirmed","","","","Recorded the pre-analysis research blueprint without treating it as an implemented method","未生成或锁定分析数据；仅引用研究设想中的潜在数据类型；不把蓝图日期推定为数据构建日期","未执行估计；仅列出候选研究问题和方法方向；无固定效应、聚类、bootstrap或seed的可验证运行","载体为本地PDF研究蓝图；属于design-only参考；不作为实证结果或当前结论","Historical design context","local","local://RR_blueprints20260210.pdf","Design evidence only; it does not establish a dataset build or empirical run"
"report-v1","Complete report v1","report","report_version","2026-03-13","","2026-03-13","2026-03-13","","historical","historical_framework","single-source-inferred","","","","Combined Steps 1-7 baseline FE, placebo, SM attenuation, heterogeneity, DML and sensitivity","使用外部V1 69038行、143列grid-year面板；沿用V1 yield_tons_ha定义；未建立独立数据快照","汇总grid/year FE基准、placebo、SM attenuation、异质性、DML和敏感性；默认grid聚类；各脚本seed按项目规则为42","载体为complete_report.Rmd；首次综合Steps 1-7；仅作历史框架且v1编号由后续序列反推","Historical framework","local","local://output/reports/complete_report.Rmd","The v1 label is inferred from the later report sequence"
"report-v2","Complete report v2","report","report_version","2026-03-13","","2026-03-13","2026-03-13","","superseded","historical_qa","two-source-supported","report-v1","report-v1","","Added Step 7B, LOPO, winsorization, nonlinear checks, leave-year-out and Oster","相对report-v1继续使用外部V1面板；数据口径未发生已验证改变；没有新的冻结样本","在既有FE主线增加LOPO、winsorization、非线性、leave-year-out、Oster和Step 7B；不改变核心estimand","载体变为complete_report_v2.Rmd；扩充QA和稳健性章节；已被后续报告版取代","Historical QA","local","local://output/reports/complete_report_v2.Rmd","Pre-Git parent relation is reconstructed"
"report-v3","Complete report v3","report","report_version","2026-03-17","","2026-03-17","2026-03-17","","superseded","historical_framework","two-source-supported","report-v2","report-v2","","Reframed mechanism evidence around a-path, attenuation, bootstrap or Sobel and dose response","继续使用V1面板；未发现相对report-v2的独立数据构建；样本口径仍由各脚本决定","把机制叙述组织为a-path、attenuation、bootstrap或Sobel和dose response；当时仍采用历史中介措辞","载体为complete_report_v3.Rmd；机制章节成为主要叙事；其因果中介措辞已被后续代数组件口径取代","Historical framework only","local","local://output/reports/complete_report_v3.Rmd","Not analysis-v3 or data-v3-expanded"
"report-v4","Complete report v4","report","report_version","2026-03-17","","2026-03-17","2026-03-17","","historical","historical_compound_framework","two-source-supported","report-v3","report-v3","","Shifted the main framing to D by H compound stress and SR by D by H","继续使用V1面板；增加D、H及其复合暴露的分析变量；未改变基础outcome定义","主estimand转为D×H超加性损失及SR×D×H斜率修饰；grid/year FE与grid聚类为主体；加入joint-stress诊断","载体为complete_report_v4.Rmd和analysis_specification.md；主叙事从单通道机制转为联合胁迫；保留为历史框架","Historical compound-stress framework","mixed","local://output/reports/complete_report_v4.Rmd|repo://docs/analysis_specification.md","Does not replace current G185 entries"
"report-v5","Complete report v5","report","report_version","2026-03-22","","2026-03-22","2026-03-22","","superseded","historical_framework","two-source-supported","report-v4","report-v4","data-v1-locked-panel","Locked the Phase 0 sample and added exposure frequency, support bounds, non-monotonicity and D-H corner interpretation","改用2026-03-22生成的V1 county-city enriched locked panel；Phase 0样本通过analysis_main_sample.dta冻结；新增county/city标识","在report-v4联合胁迫框架上增加支持区间、暴露频率、非单调性和D-H corner诊断；部分规格使用county/year FE","载体为complete_report_v5.Rmd；明确锁样本和边界解释；后被report-v6.1取代","Historical framework","local","local://output/reports/complete_report_v5.Rmd","A report label and not mechanism-v5drymed"
"report-v6.1","Complete report v6.1","report","report_version","2026-03-23","","2026-03-23","2026-03-23","","historical_latest","historical_report_latest","two-source-supported","report-v5","report-v5","data-v1-locked-panel","Repositioned SM as a state variable and added Mundlak, conditioning sets, irrigation and two-equation decomposition","主要依赖V1 locked panel并沿用V1 outcome；不同章节仍可能使用不同common sample；未统一为GGCP10样本","将SM改写为state variable；加入Mundlak、conditioning sets、灌溉边界和两方程分解；FE可含grid/year或county/year并按对应单位聚类","载体文件名为complete_report_v6.Rmd而显示版本为v6.1；是报告线最后历史版；不代表当前G185真值","Latest report-line framework","mixed","local://output/reports/complete_report_v6.Rmd|repo://docs/analysis_specification.md","Not the current G185 truth entry"
data-v1,V1 external master panel,data,logical_data_version,,2026-03-22,2026-03-12,,,reference,historical_data_reference,three-source-confirmed,,,,Registered the 69038-row V1 grid-year family and its physical variants,登记外部69038行、143列V1 grid-year家族；当前文件观测时间为2026-01-29，但本仓库内可验证的分析使用证据始于2026-03-12；V1-family定义为yield_tons_ha=maize_prod/maize_area_km2*10,不涉及估计方法；数据生成过程在本仓库Git前且无法由commit复核；仅登记schema和来源,仅公开README和DATA_SOURCES元数据；CSV/DTA保持local且不上传；作为历史数据参考,Reference data base,mixed,repo://README.md|repo://docs/DATA_SOURCES_CN.md|local://external-data/master/data_v1_with_climate.csv,"2026-01-29 is the observed file timestamp, not a confirmed build date; first repository analysis evidence is 2026-03-12; V1 uses maize_prod/maize_area_km2*10, whereas GGCP10 changes the area denominator"
"data-v1-county-city","V1 county-city enriched panel","data","physical_data_snapshot","2026-03-22","","2026-03-22","","","historical","historical_data_component","three-source-confirmed","data-v1","","","Added county and city identifiers through coordinate-to-polygon matching","在V1基础上按经纬度匹配2019县市多边形；新增county_name/code和city_name/code；行数设计上保持V1 panel不变","使用县界within匹配并对未匹配点采用市域约束最近县回退；不涉及回归estimand、FE或bootstrap","产出为外部local CSV及匹配日志；Git仅保留构建脚本；作为locked panel上游组件","Input to the locked Phase 0 panel","mixed","repo://scripts/python/add_county_city_from_coords.py|local://external-data/master/data_v1_with_climate_with_county_city.csv","The CSV remains outside Git"
"data-v1-locked-panel","V1 locked Phase 0 panel","data","physical_data_snapshot","2026-03-22","","2026-03-22","","","historical","historical_analysis_input","three-source-confirmed","data-v1-county-city","","report-v5|report-v6.1","Locked the main estimation sample and generated county or city FE identifiers","由county-city V1构建analysis_main_sample.dta；冻结main_sample并新增county_id、county_year、city_id；本地文件存在","Stata预处理执行xtset grid_id year并以当时基准回归e(sample)定义主样本；set seed 42；不产生新的研究estimand","产出为local DTA和日志；供report-v5/v6及V2管线使用；不公开二进制数据","Input to late report-line and V2 build work","mixed","repo://scripts/stata/step0_sample_and_macros.do|local://data/processed/analysis_main_sample.dta","The local panel is ignored by Git"
