thread_id,parent_thread_id,source_type,started_at,ended_at,scope_reason,canonical_ids,decision_summary,evidence_level,raw_committed
019cb2e6-85fb-7cc1-97c0-ccf544316a6c,,legacy-user,2026-03-03T08:52:57.983Z,2026-03-03T08:56:53.387Z,included:exact-project-cwd,,文献管理或研究检索支持；未形成分析版本节点。,two-source-supported,false
019cb2ed-e71a-7b73-8aae-b60202f55998,,legacy-user,2026-03-03T09:01:01.597Z,2026-03-04T01:21:05.206Z,included:exact-project-cwd,design-2026-02,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019cf584-4269-7b42-bce6-41d6cd53ae25,,legacy-user,2026-03-16T07:20:11.631Z,2026-03-16T08:11:31.114Z,included:exact-project-cwd,,Git/GitHub 管理、仓库结构或版本治理任务。,two-source-supported,false
019d157f-642e-7f01-8c7e-160d88108588,,legacy-user,2026-03-22T12:22:43.507Z,2026-03-22T12:56:02.754Z,included:exact-project-cwd,data-v1;data-v1-county-city,数据版本构建、变量映射、样本口径或谱系核验。,two-source-supported,false
019d2a6f-b76f-7640-b293-854467324495,,legacy-user,2026-03-26T13:57:37.782Z,2026-03-26T15:00:40.862Z,excluded:context-only-reference,,跨项目任务仅因注入上下文或历史工具输出出现项目路径；不作为版本谱系证据。,not-evidence,false
019d3c7a-ac0c-75f2-81f0-2941bb2d5786,,legacy-user,2026-03-30T02:02:45.650Z,2026-03-30T02:20:21.603Z,included:exact-project-cwd,,Git/GitHub 管理、仓库结构或版本治理任务。,two-source-supported,false
019d3c8b-a43c-7372-9817-81d9a87bdaa4,,legacy-user,2026-03-30T02:21:17.761Z,2026-03-30T02:29:54.967Z,included:exact-project-cwd,,Git/GitHub 管理、仓库结构或版本治理任务。,two-source-supported,false
019d3c96-c6f0-7fe0-8bba-cb8ee97c357e,,legacy-user,2026-03-30T02:33:27.540Z,2026-03-30T02:36:59.648Z,included:explicit-user-reference,,项目内技术任务；未发现可稳定归入既有 canonical ID 的版本决策。,two-source-supported,false
019d3cd7-dacc-7be1-997a-2e14a6750c27,,legacy-user,2026-03-30T03:44:32.466Z,2026-03-30T04:13:42.127Z,included:exact-project-cwd,data-v1;data-v2;report-v4,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019d3d7b-5333-77e0-98b3-4fa969fe8633,,legacy-user,2026-03-30T06:43:05.657Z,2026-03-30T13:00:01.961Z,included:project-subdir-cwd,data-v2;report-v4,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019d3ed4-7d77-7bb1-9165-361c1d66473f,019d3d7b-5333-77e0-98b3-4fa969fe8633,legacy-user,2026-03-30T13:00:06.396Z,2026-03-31T10:58:43.584Z,included:project-subdir-cwd,data-v2;report-v4,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019d65ba-d2f2-71a1-b7b5-7d287d93ba5b,,legacy-user,2026-04-07T02:17:15.768Z,2026-04-07T02:48:24.553Z,included:exact-project-cwd,,项目支持或治理任务；未形成可按现存文件、代码或日志交叉核验的版本节点。,two-source-supported,false
019d6728-c6a4-7301-81a1-6de3a20491e2,,legacy-user,2026-04-07T08:56:58.793Z,2026-04-07T12:21:47.247Z,included:exact-project-cwd,data-v2,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019d6739-944c-7c02-8430-6101e53a4e11,,legacy-user,2026-04-07T09:15:20.018Z,2026-04-07T09:31:46.244Z,included:exact-project-cwd,,项目内技术任务；未发现可稳定归入既有 canonical ID 的版本决策。,two-source-supported,false
019d6740-9170-7aa1-9f1c-b796e37ac3b1,,legacy-user,2026-04-07T09:22:58.037Z,2026-04-07T09:24:24.381Z,included:exact-project-cwd,,项目内技术任务；未发现可稳定归入既有 canonical ID 的版本决策。,two-source-supported,false
019d67f9-cc39-7e20-b71b-f6b66a5ebd06,,legacy-user,2026-04-07T12:45:17.249Z,2026-04-15T12:49:18.902Z,included:exact-project-cwd,analysis-v2;analysis-v3decomp;analysis-v3prhd;analysis-v3prhdsm;analysis-v3sub;data-v2;report-v4,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019d6825-0ea5-7110-836c-436e25facd1c,,legacy-user,2026-04-07T13:32:32.298Z,2026-04-07T13:34:06.419Z,included:exact-project-cwd,,Git/GitHub 管理、仓库结构或版本治理任务。,two-source-supported,false
019d6875-ea4e-7c52-adf5-df61eb5c95d3,,legacy-user,2026-04-07T15:00:51.411Z,2026-04-07T15:05:55.992Z,included:exact-project-cwd,,Git/GitHub 管理、仓库结构或版本治理任务。,two-source-supported,false
019d8c5c-9810-7a73-823c-fd614dcf92ac,,legacy-user,2026-04-14T14:19:31.761Z,2026-04-14T14:21:13.434Z,included:exact-project-cwd,,Git/GitHub 管理、仓库结构或版本治理任务。,two-source-supported,false
019d904f-5282-7b01-8c09-058c22579b38,,legacy-user,2026-04-15T08:43:30.846Z,2026-04-15T09:15:53.926Z,included:exact-project-cwd,analysis-v3prhd;analysis-v3prhdsm;data-v1,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019d91d5-35b5-7462-a0aa-9e398b1327fc,,legacy-user,2026-04-15T15:49:22.524Z,2026-04-15T17:33:06.731Z,included:exact-project-cwd,analysis-v3decomp;analysis-v3med-model8;analysis-v3sub,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019d935f-5035-7551-ab1b-231a44be7e61,,legacy-user,2026-04-15T22:59:50.480Z,2026-04-16T01:30:25.906Z,included:exact-project-cwd,analysis-v3med-model8;analysis-v3prhd;analysis-v3prhdsm;analysis-v3proxy,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019daaf0-516e-7060-ae50-132f60936172,,legacy-user,2026-04-20T12:49:29.499Z,2026-04-20T23:23:59.373Z,included:exact-project-cwd,analysis-v3bpath;analysis-v3decomp;analysis-v3med-model8;analysis-v3prhd;analysis-v3prhdsm;analysis-v3proxy;analysis-v3sub;mechanism-v4smstate,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019dae1f-560e-7f42-a587-fd7f1c43d622,,legacy-user,2026-04-21T03:39:42.503Z,2026-04-21T04:39:54.874Z,included:exact-project-cwd,analysis-v3bpath;analysis-v3prhd;analysis-v3prhdsm;analysis-v3proxy;data-v1;mechanism-v4smstate,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019db335-446d-7140-8445-4da55726e898,,legacy-user,2026-04-22T03:21:45.857Z,2026-04-22T17:01:09.939Z,included:exact-project-cwd,data-v1;data-v3-main;data-v3-phenowindows;mechanism-v4smstate;mechanism-v6gleambl,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019db408-ee6f-7552-be7e-206e06c45586,,legacy-user,2026-04-22T07:12:57.477Z,2026-04-23T00:04:42.502Z,included:exact-project-cwd,analysis-v3bpath;analysis-v3med-model8;analysis-v3prhd;analysis-v3prhdsm;analysis-v3sub;data-v3-main;mechanism-v4smstate;mechanism-v5drymed;mechanism-v6gleambl,列示版本的项目任务或核验记录；仅保留脱敏关联，未将晚于该对话日期的版本节点回填为历史证据。,two-source-supported,false
019db52b-0d8c-78f2-8615-ec811707595c,,legacy-user,2026-04-22T12:29:50.883Z,2026-04-22T12:43:10.318Z,included:exact-project-cwd,,土壤水分变量、数据或机制设计审计。,two-source-supported,false
019db730-57a1-7bd1-b648-26bcceb52232,,legacy-user,2026-04-22T21:54:51.967Z,2026-04-22T22:01:21.497Z,included:exact-project-cwd,,项目内技术任务；未发现可稳定归入既有 canonical ID 的版本决策。,two-source-supported,false
019db858-951b-70b3-b532-b96eb5a8ff77,,legacy-user,2026-04-23T03:18:26.365Z,2026-04-23T04:22:36.383Z,excluded:context-only-reference,,跨项目任务仅因注入上下文或历史工具输出出现项目路径；不作为版本谱系证据。,not-evidence,false
019ded7c-98b5-7a21-a326-25aabab80ff2,,legacy-user,2026-05-03T10:57:39.037Z,2026-06-02T11:39:59.796Z,excluded:context-only-reference,,跨项目任务仅因注入上下文或历史工具输出出现项目路径；不作为版本谱系证据。,not-evidence,false
